"","nb.calls","intercall.dur","dom.freq","whine.dur","pulse.rate","nb.pulse","id","year","time","date","male.rep","color","temp","plant.rep","site","sp","treat","pl.rep","daysintreat","loc","location","hour","minutes","circ.time","cos","sin","plants","sp.on.pl","aggregation","molt","age"
"EbLentWI_homo-PVN_A_LF_02R_200729_0214pm.txt",4,2.89514,178.958461752544,1.027468,16.9279209127548,4,"_200729_0214p",2020," 2:14:00 PM","29/07/20",2,"R",25,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",14,14,3.72627795300789,-0.833885822067168,-0.551936985312058,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
"EbLentWI_homo-PVN_A_LF_02W_200729_0149pm.txt",6,2.86137199999999,180.144115292239,0.706157999999988,16.8044632654434,5,"_200729_0149p",2020," 1:49:00 PM","29/07/20",2,"W",24.8,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",13,49,3.61719487475825,-0.889017141485737,-0.457873915116956,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
"EbLentWI_homo-PVN_A_LF_03R_200729_0251pm.txt",5,2.88026100000002,170.875261059499,0.880944,18.2635058625845,4,"_200729_0251p",2020," 2:51:00 PM","29/07/20",3,"R",24.7,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",14,51,3.88772090881737,-0.734322509435686,-0.678800745532942,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
"EbLentWI_homo-PVN_A_LF_03W_200729_0154pm.txt",4,3.18850400000001,173.694876001189,0.885782000000006,16.4787539425419,5,"_200729_0154p",2020," 1:54:00 PM","29/07/20",3,"W",24.8,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",13,54,3.63901149040818,-0.878817112661966,-0.477158760259608,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
"EbLentWI_homo-PVN_A_LF_04R_200729_0259pm.txt",8,2.203439,183.120371123943,0.806540999999996,17.2890135234669,5,"_200729_0259p",2020," 2:59:00 PM","29/07/20",4,"R",24.8,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",14,59,3.92262749385726,-0.710185375623286,-0.704014724455968,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
"EbLentWI_homo-PVN_A_LF_04W_200729_0242pm.txt",5,2.47964099999999,170.254625250661,0.866481,18.9212968656872,4,"_200729_0242p",2020," 2:42:00 PM","29/07/20",4,"W",24.7,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",14,42,3.8484510006475,-0.760405965600031,-0.649448048330184,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
"EbLentWI_homo-PVN_A_LF_05W_200729_0306pm.txt",4,2.659463,175.080245112346,0.7624,17.6243130923972,5,"_200729_0306p",2020," 3:06:00 PM","29/07/20",5,"W",24.8,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",15,6,3.95317075576716,-0.688354575693754,-0.725374371012287,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
"EbLentWI_homo-PVN_B_LF_01R_200731_1207pm.txt",4,3.694887,178.373236086898,0.600048999999999,16.7299616883878,6,"_200731_1207p",2020,"12:07:00 PM","31/07/20",1,"R",23.3,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",12,7,3.17213591549969,-0.999533590836713,-0.0305385132098229,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_01W_200731_1258pm.txt",4,3.83935199999999,167.675826734984,0.890029999999996,16.7198916551027,4,"_200731_1258p",2020,"12:58:00 PM","31/07/20",1,"W",23.1,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",12,58,3.39466539512897,-0.968147640378108,-0.250380004054442,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_02R_200731_0109pm.txt",6,2.693693,162.49300377345,0.954836999999998,16.1987259702025,4,"_200731_0109p",2020," 1:09:00 PM","31/07/20",2,"R",23.1,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,9,3.44266194955881,-0.955019944457187,-0.296541574975571,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_02W_200731_0113pm.txt",4,2.493547,165.651285638062,1.007244,16.7026469519752,4,"_200731_0113p",2020," 1:13:00 PM","31/07/20",2,"W",23.1,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,13,3.46011524207876,-0.949699126201877,-0.31316380648375,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_03R_200731_0128pm.txt",9,2.89140900000001,170.290060736776,1.12090500000001,16.0523950173364,5,"_200731_0128p",2020," 1:28:00 PM","31/07/20",3,"R",23.1,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,28,3.52556508902855,-0.927183854566788,-0.374606593415912,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_03W_200731_0125pm.txt",5,3.453844,188.501413760593,0.761573000000002,17.1553069942185,4,"_200731_0125p",2020," 1:25:00 PM","31/07/20",3,"W",23.2,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,25,3.51247511963859,-0.932007869282799,-0.362438038283701,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_04R_200731_0139pm.txt",1,0,175.370226032736,0.725622,17.9853689023979,4,"_200731_0139p",2020," 1:39:00 PM","31/07/20",4,"R",23.2,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,39,3.57356164345839,-0.908143173825081,-0.418659737537428,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_04W_200731_0132pm.txt",3,2.889997,171.317622872804,0.786529,16.2466897369661,5,"_200731_0132p",2020," 1:32:00 PM","31/07/20",4,"W",23.1,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,32,3.54301838154849,-0.92050485345244,-0.390731128489274,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_05R_200731_0143pm.txt",4,2.702332,162.922467008215,0.883892000000003,16.2329756667695,4,"_200731_0143p",2020," 1:43:00 PM","31/07/20",5,"R",23.2,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,43,3.59101493597833,-0.900698239322588,-0.434445257404417,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",23
"EbLentWI_homo-PVN_B_LF_05W_200806_1259pm.txt",4,2.689059,181.039164805997,0.797977000000003,18.7494140808098,4,"_200806_1259p",2020,"12:59:00 PM","06/08/20",5,"W",25.3,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",12,59,3.39902871825896,-0.967045938913943,-0.254601948205527,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",29
"EbLentWI_homo-PVN_B_LF_06R_200806_0113pm.txt",4,2.61958200000001,180.205434195037,0.759074999999996,16.8043691359746,6,"_200806_0113p",2020," 1:13:00 PM","06/08/20",6,"R",25.3,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,13,3.46011524207876,-0.949699126201877,-0.31316380648375,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",29
"EbLentWI_homo-PVN_B_LF_06W_200819_0155pm.txt",6,2.44416099999999,167.666455531114,0.612572999999998,18.011446274107,4,"_200819_0155p",2020," 1:55:00 PM","19/08/20",6,"W",26.5,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,55,3.64337481353816,-0.876726755707508,-0.480988768919387,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",42
"EbLentWI_homo-PVN_B_LF_07R_200806_0123pm.txt",3,2.806571,180.093648697327,0.666302999999999,18.6465408335939,4,"_200806_0123p",2020," 1:23:00 PM","06/08/20",7,"R",25.5,"B","PVN","LF","homo","B PVN 2020",6,"PVN","allo",13,23,3.50374847337862,-0.935135209686012,-0.354291037997715,"2020 homo LF PVN B","LF","2020 LF PVN B","2020-07-08",29
"EbLentWI_homo-PVN_C_LF_01W_200806_1138am.txt",4,2.285635,178.168428554436,0.694434000000001,20.4037910243717,4,"_200806_1138a",2020,"11:38:00 AM","06/08/20",1,"W",25.7,"C","PVN","LF","homo","C PVN 2020",6,"PVN","allo",11,38,3.04559954473011,-0.995396198367179,0.0958457525202239,"2020 homo LF PVN C","LF","2020 LF PVN C","2020-07-08",29
"EbLentWI_homo-PVN_D_LF_01R_200806_1243pm.txt",5,2.52449799999999,179.769894535126,0.896033999999986,22.3073205190103,3,"_200806_1243p",2020,"12:43:00 PM","06/08/20",1,"R",25.3,"D","PVN","LF","homo","D PVN 2020",6,"PVN","allo",12,43,3.32921554817918,-0.98245039772551,-0.186524036008734,"2020 homo LF PVN D","LF","2020 LF PVN D","2020-07-08",29
"EbLentWI_homo-PVN_D_LF_01W_200824_1248pm.txt",5,2.68769900000001,196.609577071,0.596812999999997,22.6930612183124,3,"_200824_1248p",2020,"12:48:00 PM","24/08/20",1,"W",27,"D","PVN","LF","homo","D PVN 2020",6,"PVN","allo",12,48,3.35103216382911,-0.978147600733806,-0.207911690817759,"2020 homo LF PVN D","LF","2020 LF PVN D","2020-07-08",47
"EbLentWI_homo-PVN_D_LF_02R_200806_1251pm.txt",5,3.56903600000001,173.795500627611,0.662858999999997,18.1208661774051,4,"_200806_1251p",2020,"12:51:00 PM","06/08/20",2,"R",25.3,"D","PVN","LF","homo","D PVN 2020",6,"PVN","allo",12,51,3.36412213321907,-0.975342320508513,-0.220697435021501,"2020 homo LF PVN D","LF","2020 LF PVN D","2020-07-08",29
